study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB43263	SAMEA8124546	ERX5136069	ERR5347688	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347688/ERR5347688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347688/ERR5347688_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347688/CML322_rep2_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347688/CML322_rep2_S4_R2_001.fastq.gz	
PRJEB43263	SAMEA8124547	ERX5136070	ERR5347689	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347689/ERR5347689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347689/ERR5347689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347689/CML333_rep1_S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347689/CML333_rep1_S1_R2_001.fastq.gz	
PRJEB43263	SAMEA8124548	ERX5136071	ERR5347690	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347690/ERR5347690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347690/ERR5347690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347690/CML333_rep2_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347690/CML333_rep2_S4_R2_001.fastq.gz	
PRJEB43263	SAMEA8124549	ERX5136072	ERR5347691	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347691/ERR5347691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347691/ERR5347691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347691/CML52-rep2-2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347691/CML52-rep2-2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124550	ERX5136073	ERR5347692	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347692/ERR5347692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347692/ERR5347692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347692/CML52-rep3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347692/CML52-rep3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124551	ERX5136074	ERR5347693	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347693/ERR5347693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347693/ERR5347693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347693/CML69_rep1_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347693/CML69_rep1_S2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124552	ERX5136075	ERR5347694	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347694/ERR5347694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347694/ERR5347694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347694/CML69_rep3_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347694/CML69_rep3_S4_R2_001.fastq.gz	
PRJEB43263	SAMEA8124553	ERX5136076	ERR5347695	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347695/ERR5347695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/005/ERR5347695/ERR5347695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347695/HP301-rep1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347695/HP301-rep1_R2_001.fastq.gz	
PRJEB43263	SAMEA8124554	ERX5136077	ERR5347696	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347696/ERR5347696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/006/ERR5347696/ERR5347696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347696/HP301_rep3_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347696/HP301_rep3_S3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124555	ERX5136078	ERR5347697	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347697/ERR5347697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/007/ERR5347697/ERR5347697_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347697/IL14H_rep1_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347697/IL14H_rep1_S4_R2_001.fastq.gz	
PRJEB43263	SAMEA8124556	ERX5136079	ERR5347698	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347698/ERR5347698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/008/ERR5347698/ERR5347698_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347698/IL14H_rep2_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347698/IL14H_rep2_S4_R2_001.fastq.gz	
PRJEB43263	SAMEA8124557	ERX5136080	ERR5347699	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347699/ERR5347699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/009/ERR5347699/ERR5347699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347699/Ki11-rep1-reseq_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347699/Ki11-rep1-reseq_R2_001.fastq.gz	
PRJEB43263	SAMEA8124558	ERX5136081	ERR5347700	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347700/ERR5347700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/000/ERR5347700/ERR5347700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347700/Ki11_rep2_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347700/Ki11_rep2_S3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124559	ERX5136082	ERR5347701	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347701/ERR5347701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/001/ERR5347701/ERR5347701_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347701/Ki11_rep1_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347701/Ki11_rep1_S3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124560	ERX5136083	ERR5347702	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347702/ERR5347702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/002/ERR5347702/ERR5347702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347702/Ki3_rep1_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347702/Ki3_rep1_S3_R2_001.fastq.gz	
PRJEB43263	SAMEA8124561	ERX5136084	ERR5347703	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347703/ERR5347703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/003/ERR5347703/ERR5347703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347703/Ki3-rep2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347703/Ki3-rep2_R2_001.fastq.gz	
PRJEB43263	SAMEA8124562	ERX5136085	ERR5347704	4577	Zea mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347704/ERR5347704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR534/004/ERR5347704/ERR5347704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347704/KY21-rep1_S3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR534/ERR5347704/KY21-rep1_S3_L001_R2_001.fastq.gz	
