,study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Sample,tissue
422,PRJEB36014,SAMEA6448389,ERX3793929,ERR3791825,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791825/ERR3791825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/005/ERR3791825/ERR3791825_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791825/P39_8DAS_shoot_MN25021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791825/P39_8DAS_shoot_MN25021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/005/ERR3791825,P39,shoot
423,PRJEB36014,SAMEA6448390,ERX3793930,ERR3791826,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791826/ERR3791826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/006/ERR3791826/ERR3791826_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791826/P39_8DAS_shoot_MN25022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791826/P39_8DAS_shoot_MN25022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/006/ERR3791826,P39,shoot
424,PRJEB36014,SAMEA6448391,ERX3793931,ERR3791827,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791827/ERR3791827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/007/ERR3791827/ERR3791827_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791827/Tx303_8DAS_shoot_MN26021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791827/Tx303_8DAS_shoot_MN26021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/007/ERR3791827,TX303,shoot
425,PRJEB36014,SAMEA6448392,ERX3793932,ERR3791828,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791828/ERR3791828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/008/ERR3791828/ERR3791828_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791828/Tx303_8DAS_shoot_MN26022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791828/Tx303_8DAS_shoot_MN26022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/008/ERR3791828,TX303,shoot
426,PRJEB36014,SAMEA6448393,ERX3793933,ERR3791829,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791829/ERR3791829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/009/ERR3791829/ERR3791829_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791829/Tzi8_8DAS_shoot_MN27021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791829/Tzi8_8DAS_shoot_MN27021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/009/ERR3791829,TZI8,shoot
427,PRJEB36014,SAMEA6448394,ERX3793934,ERR3791830,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791830/ERR3791830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/000/ERR3791830/ERR3791830_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791830/Tzi8_8DAS_shoot_MN27022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791830/Tzi8_8DAS_shoot_MN27022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/000/ERR3791830,TZI8,shoot
428,PRJEB36014,SAMEA6448395,ERX3793935,ERR3791831,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791831/ERR3791831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/001/ERR3791831/ERR3791831_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791831/B97_8DAS_shoot_MN03021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791831/B97_8DAS_shoot_MN03021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/001/ERR3791831,B97,shoot
429,PRJEB36014,SAMEA6448396,ERX3793936,ERR3791832,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791832/ERR3791832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/002/ERR3791832/ERR3791832_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791832/B97_8DAS_shoot_MN03022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791832/B97_8DAS_shoot_MN03022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/002/ERR3791832,B97,shoot
430,PRJEB36014,SAMEA6448397,ERX3793937,ERR3791833,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791833/ERR3791833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/003/ERR3791833/ERR3791833_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791833/CML103_8DAS_shoot_MN04021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791833/CML103_8DAS_shoot_MN04021_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/003/ERR3791833,CML103,shoot
431,PRJEB36014,SAMEA6448398,ERX3793938,ERR3791834,381124,Zea mays subsp. mays,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791834/ERR3791834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3791834/ERR3791834_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791834/CML103_8DAS_shoot_MN04022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR379/ERR3791834/CML103_8DAS_shoot_MN04022_R2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR379/004/ERR3791834,CML103,shoot
